,bpd,committee_size,extension,latency,minerblocksize
541,129.0,8.0,syncorazor,5.0,10.0
542,39.0,8.0,syncorazor,5.0,10.0
543,62.0,8.0,syncorazor,5.0,10.0
544,102.0,8.0,syncorazor,5.0,10.0
545,116.0,8.0,syncorazor,5.0,10.0
546,68.0,8.0,syncorazor,5.0,10.0
547,35.0,8.0,syncorazor,5.0,10.0
548,130.0,8.0,syncorazor,5.0,10.0
549,37.0,8.0,syncorazor,5.0,10.0
550,61.0,8.0,syncorazor,5.0,10.0
551,102.0,8.0,syncorazor,5.0,10.0
552,117.0,8.0,syncorazor,5.0,10.0
553,67.0,8.0,syncorazor,5.0,10.0
554,36.0,8.0,syncorazor,5.0,10.0
555,129.0,8.0,syncorazor,5.0,10.0
556,38.0,8.0,syncorazor,5.0,10.0
557,62.0,8.0,syncorazor,5.0,10.0
558,102.0,8.0,syncorazor,5.0,10.0
559,116.0,8.0,syncorazor,5.0,10.0
560,65.0,8.0,syncorazor,5.0,10.0
561,35.0,8.0,syncorazor,5.0,10.0
562,130.0,8.0,syncorazor,5.0,10.0
563,37.0,8.0,syncorazor,5.0,10.0
564,61.0,8.0,syncorazor,5.0,10.0
565,102.0,8.0,syncorazor,5.0,10.0
566,116.0,8.0,syncorazor,5.0,10.0
567,68.0,8.0,syncorazor,5.0,10.0
568,36.0,8.0,syncorazor,5.0,10.0
569,130.0,8.0,syncorazor,5.0,10.0
570,38.0,8.0,syncorazor,5.0,10.0
571,61.0,8.0,syncorazor,5.0,10.0
572,102.0,8.0,syncorazor,5.0,10.0
573,115.0,8.0,syncorazor,5.0,10.0
574,72.0,8.0,syncorazor,5.0,10.0
575,35.0,8.0,syncorazor,5.0,10.0
576,131.0,8.0,syncorazor,5.0,10.0
